"Asset ID","Category / Usage Location","Current Source / Path","Local File Path in Workspace","New CDN URL (Paste Here)"
"video-showreel-2026","2026 Showreel Section & Hero","/videos/showreel.mp4","d:\Activ8 LP\public\videos\showreel.mp4",""
"project-nike-nextgen","Selected Work & Case Study","https://images.unsplash.com/photo-1542291026-7eec264c27ff","N/A (External Unsplash)",""
"project-ap-experience","Selected Work & Case Study","https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9","N/A (External Unsplash)",""
"project-veloce-ai","Selected Work & Case Study","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe","N/A (External Unsplash)",""
"project-rimowa-os","Selected Work & Case Study","https://images.unsplash.com/photo-1581553680321-4fffae59fccd","N/A (External Unsplash)",""
"project-sony-audio","Selected Work & Case Study","https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad","N/A (External Unsplash)",""
"slider-legacy-ux","Before/After UX Evolution Slider","https://images.unsplash.com/photo-1507238691740-187a5b1d37b8","N/A (External Unsplash)",""
"industry-fintech","Domain Expertise (Fintech)","https://images.unsplash.com/photo-1611974789855-9c2a0a7236a3","N/A (External Unsplash)",""
"industry-saas","Domain Expertise (Enterprise SaaS)","https://images.unsplash.com/photo-1518770660439-4636190af475","N/A (External Unsplash)",""
"industry-luxury","Domain Expertise (Luxury Commerce)","https://images.unsplash.com/photo-1441986300917-64674bd600d8","N/A (External Unsplash)",""
"industry-media","Domain Expertise (Media & Ent.)","https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4","N/A (External Unsplash)",""
"industry-health","Domain Expertise (Healthcare & Biotech)","https://images.unsplash.com/photo-1576091160399-112ba8d25d1d","N/A (External Unsplash)",""
"industry-mobility","Domain Expertise (Mobility & Auto)","https://images.unsplash.com/photo-1503376780353-7e6692767b70","N/A (External Unsplash)",""
"team-elena-rostova","Leadership (VP Design)","https://images.unsplash.com/photo-1534528741775-53994a69daeb","N/A (External Unsplash)",""
"team-marcus-vance","Leadership (Chief Strategy Officer)","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d","N/A (External Unsplash)",""
"team-aria-chen","Leadership (VP Engineering)","https://images.unsplash.com/photo-1580489944761-15a19d654956","N/A (External Unsplash)",""
