"Asset ID","Asset Name / Title","Category / Usage Section","Type / Format","Current Local / Remote Path","Code Reference File Path","Recommended CDN Path","New CDN URL (Paste Here)"
"video-01","2026 Agency Showreel Video","Hero & Showreel Section","MP4 (46.2 MB)","/videos/showreel.mp4","components/sections/ShowreelSection.tsx","cdn.activ8.digital/videos/showreel.mp4",""
"project-01","Nike NextGen Commerce Banner","Selected Work & Case Study","JPG / WebP","https://images.unsplash.com/photo-1542291026-7eec264c27ff","data/projects.ts","cdn.activ8.digital/projects/nike-nextgen.jpg",""
"project-02","Audemars Piguet Horology Platform","Selected Work & Case Study","JPG / WebP","https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9","data/projects.ts","cdn.activ8.digital/projects/audemars-piguet.jpg",""
"project-03","Veloce AI Intelligence Workspace","Selected Work & Case Study","JPG / WebP","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe","data/projects.ts","cdn.activ8.digital/projects/veloce-ai.jpg",""
"project-04","RIMOWA Connected Travel Companion","Selected Work & Case Study","JPG / WebP","https://images.unsplash.com/photo-1581553680321-4fffae59fccd","data/projects.ts","cdn.activ8.digital/projects/rimowa-os.jpg",""
"project-05","Sony Spatial Audio WebGL Showcase","Selected Work & Case Study","JPG / WebP","https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad","data/projects.ts","cdn.activ8.digital/projects/sony-audio.jpg",""
"ux-01","Legacy UX Before State","Before/After UX Evolution Slider","JPG / WebP","https://images.unsplash.com/photo-1507238691740-187a5b1d37b8","app/work/[slug]/page.tsx","cdn.activ8.digital/case-studies/legacy-ux-before.jpg",""
"industry-01","Fintech & Digital Banking Backdrop","Domain Expertise Section","JPG / WebP","https://images.unsplash.com/photo-1611974789855-9c2a0a7236a3","data/industries.ts","cdn.activ8.digital/industries/fintech.jpg",""
"industry-02","Enterprise SaaS & Cloud Infrastructure","Domain Expertise Section","JPG / WebP","https://images.unsplash.com/photo-1518770660439-4636190af475","data/industries.ts","cdn.activ8.digital/industries/saas.jpg",""
"industry-03","Luxury E-Commerce & Retail Backdrop","Domain Expertise Section","JPG / WebP","https://images.unsplash.com/photo-1441986300917-64674bd600d8","data/industries.ts","cdn.activ8.digital/industries/luxury.jpg",""
"industry-04","Media & Spatial Entertainment Console","Domain Expertise Section","JPG / WebP","https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4","data/industries.ts","cdn.activ8.digital/industries/media.jpg",""
"industry-05","Healthcare & Biotech Research Laboratory","Domain Expertise Section","JPG / WebP","https://images.unsplash.com/photo-1576091160399-112ba8d25d1d","data/industries.ts","cdn.activ8.digital/industries/healthcare.jpg",""
"industry-06","Mobility & Autonomous EV Dashboard","Domain Expertise Section","JPG / WebP","https://images.unsplash.com/photo-1503376780353-7e6692767b70","data/industries.ts","cdn.activ8.digital/industries/mobility.jpg",""
"team-01","Elena Rostova Headshot (VP Design)","About Page Leadership Grid","JPG / WebP","https://images.unsplash.com/photo-1534528741775-53994a69daeb","app/about/page.tsx","cdn.activ8.digital/team/elena-rostova.jpg",""
"team-02","Marcus Vance Headshot (CSO)","About Page Leadership Grid","JPG / WebP","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d","app/about/page.tsx","cdn.activ8.digital/team/marcus-vance.jpg",""
"team-03","Aria Chen Headshot (VP Engineering)","About Page Leadership Grid","JPG / WebP","https://images.unsplash.com/photo-1580489944761-15a19d654956","app/about/page.tsx","cdn.activ8.digital/team/aria-chen.jpg",""
"brand-01","Activ8 Official Brand Logo Vector","Header, Footer & Mobile Menu","SVG Component","components/ui/Activ8Logo.tsx","cdn.activ8.digital/brand/logo.svg",""
"favicon-01","Activ8 Favicon Icon","App Metadata Header","ICO / PNG","public/favicon.ico","app/layout.tsx","cdn.activ8.digital/brand/favicon.ico",""
